,year,price,transmission,mileage,tax,mpg,engineSize
11516,2019,25000,1,10996,145.0,60.1,2.0
11517,2019,18990,0,6615,145.0,70.6,1.5
11518,2019,18900,0,5379,145.0,70.6,1.5
11519,2017,38000,1,14894,300.0,34.0,3.0
11520,2019,23000,1,929,145.0,40.4,2.0
11521,2017,19990,1,25212,145.0,62.8,2.0
11522,2019,44000,1,3253,145.0,26.9,3.0
11523,2019,27000,1,1400,145.0,65.7,2.0
11524,2019,34990,1,4020,145.0,48.7,2.0
11525,2019,28500,0,105,145.0,68.9,2.0
11526,2019,31490,0,105,145.0,60.1,2.0
11527,2019,30900,1,678,145.0,65.7,2.0
11528,2016,19850,1,14542,125.0,60.1,2.0
11529,2016,18490,0,19064,125.0,60.1,2.0
11530,2018,27990,1,18327,145.0,60.1,3.0
11531,2019,22500,0,1272,145.0,54.3,1.5
11532,2018,34000,1,935,145.0,42.8,2.0
11533,2016,19000,1,15605,125.0,60.1,2.0
11534,2019,25490,1,5379,145.0,39.8,3.0
11535,2016,21000,1,15989,145.0,54.3,2.0
11536,2016,19490,1,43688,145.0,54.3,2.0
11537,2018,16998,0,12792,150.0,51.4,2.0
11538,2017,20898,1,17131,150.0,64.2,2.0
11539,2019,33898,1,10792,150.0,42.8,2.0
11540,2017,24500,1,12674,145.0,54.3,2.0
11541,2019,22500,1,5058,145.0,50.4,2.0
11542,2018,24990,1,13271,150.0,53.3,3.0
11543,2019,67500,1,6000,140.0,141.2,1.5
11544,2016,19295,1,13049,125.0,57.6,2.0
11545,2015,14998,1,29809,20.0,68.9,2.0
11546,2019,48898,1,5000,145.0,34.5,3.0
11547,2016,14998,1,32274,125.0,51.4,1.5
11548,2013,10998,1,41501,30.0,64.2,2.0
11549,2016,13998,0,47274,200.0,41.5,2.0
11550,2016,13498,1,45341,0.0,74.3,2.0
11551,2015,16998,1,73312,145.0,54.3,2.0
11552,2019,27500,1,3286,145.0,39.8,3.0
11553,2019,22000,0,3266,145.0,52.3,1.5
11554,2019,22000,0,2560,145.0,52.3,1.5
11555,2019,21500,0,4067,145.0,52.3,1.5
11556,2019,30000,1,5479,145.0,50.4,2.0
11557,2019,36500,1,4971,145.0,55.4,2.0
11558,2019,22990,0,3205,145.0,52.3,1.5
11559,2019,32990,1,9503,145.0,49.6,2.0
11560,2017,48898,1,36127,0.0,134.5,1.5
11561,2016,20900,1,15537,165.0,44.8,2.0
11562,2016,15490,0,7390,165.0,44.8,2.0
11563,2019,21900,0,917,150.0,44.8,1.5
11564,2019,22900,0,969,150.0,68.9,2.0
11565,2019,47000,1,5113,145.0,44.1,3.0
11566,2019,33990,1,11,145.0,54.3,2.0
11567,2017,23500,1,21798,145.0,49.6,3.0
11568,2019,22000,1,10300,145.0,55.4,2.0
11569,2019,52500,1,5597,145.0,37.7,3.0
11570,2019,26000,1,12209,145.0,62.8,2.0
11571,2019,23000,1,1956,145.0,60.1,2.0
11572,2019,24898,1,13125,145.0,52.3,2.0
11573,2016,15498,0,20233,30.0,62.8,2.0
11574,2017,14998,1,48972,150.0,65.7,2.0
11575,2017,36898,1,28193,150.0,29.1,4.4
11576,2019,46898,1,7200,150.0,42.2,3.0
11577,2019,62898,1,4200,150.0,26.9,4.4
11578,2016,21898,1,10000,160.0,52.3,3.0
11579,2018,21498,1,1749,145.0,47.1,2.0
11580,2018,25990,1,8344,145.0,53.3,3.0
11581,2019,64900,1,7200,145.0,33.2,3.0
11582,2020,27490,1,100,145.0,60.1,2.0
11583,2020,28990,1,100,145.0,52.3,3.0
11584,2020,30750,1,100,145.0,50.4,3.0
11585,2016,16690,1,30271,145.0,53.3,3.0
11586,2017,16998,1,25544,145.0,64.2,2.0
11587,2017,23998,1,13373,145.0,65.7,2.0
11588,2019,21998,1,17417,145.0,65.7,2.0
11589,2019,16998,0,7201,150.0,42.8,1.5
11590,2017,16798,1,23843,145.0,64.2,2.0
11591,2016,11998,1,78980,30.0,70.6,2.0
11592,2019,17998,0,6047,145.0,56.5,1.5
11593,2019,23298,1,14320,145.0,54.3,2.0
11594,2017,24298,1,13863,145.0,60.1,2.0
11595,2018,19990,1,5600,145.0,49.6,2.0
11596,2019,72990,1,8200,145.0,26.7,4.4
11597,2019,42990,1,9931,145.0,44.1,3.0
11598,2013,12791,1,55642,145.0,55.4,2.0
11599,2017,14991,0,20847,145.0,52.3,1.5
11600,2016,14498,0,16735,20.0,74.3,1.5
11601,2018,16998,1,21879,150.0,51.4,1.5
11602,2016,20990,1,21924,260.0,37.2,3.0
11603,2015,15990,0,43574,200.0,39.8,2.0
11604,2019,24500,1,10112,145.0,61.4,2.0
11605,2019,35490,1,6250,145.0,42.8,2.0
11606,2019,38900,1,3302,145.0,48.7,3.0
11607,2018,17620,1,20461,145.0,60.1,2.0
11608,2017,19991,1,27123,145.0,62.8,2.0
11609,2015,11991,0,52656,30.0,62.8,2.0
11610,2016,19998,1,26711,160.0,51.4,3.0
11611,2017,15998,1,15931,125.0,51.4,2.0
11612,2016,18998,0,10935,125.0,58.9,2.0
11613,2019,26998,1,13268,145.0,48.7,2.0
11614,2019,20498,1,6195,145.0,47.9,2.0
11615,2015,11998,1,30738,20.0,68.9,2.0
11616,2019,18498,1,4079,150.0,39.8,1.5
11617,2015,14998,1,34348,150.0,55.4,2.0
11618,2018,21998,1,14008,145.0,62.8,2.0
11619,2016,18498,1,36523,205.0,39.8,3.0
11620,2015,15998,1,47812,160.0,51.4,3.0
11621,2014,13498,0,22080,205.0,41.5,2.0
11622,2015,17998,1,41858,200.0,48.7,3.0
11623,2019,33998,1,4231,150.0,42.8,2.0
11624,2019,18998,0,12250,150.0,70.6,1.5
11625,2019,21898,0,4100,150.0,41.5,1.5
11626,2018,20140,1,2674,145.0,64.2,2.0
11627,2018,22991,1,10990,145.0,65.7,2.0
11628,2015,19991,1,62839,200.0,47.9,3.0
11629,2016,16998,0,21076,300.0,35.3,3.0
11630,2017,11498,0,51299,125.0,52.3,1.5
11631,2015,14298,1,25970,125.0,58.9,2.0
11632,2019,26498,1,11504,150.0,41.5,2.0
11633,2016,14998,1,25253,125.0,54.3,1.5
11634,2015,18298,1,58779,145.0,54.3,2.0
11635,2019,27698,1,8722,145.0,60.1,2.0
11636,2015,12498,0,32082,125.0,52.3,1.5
11637,2015,13498,1,48444,200.0,41.5,2.0
11638,2019,18298,1,1230,145.0,50.4,2.0
11639,2017,10000,0,51493,30.0,55.4,1.5
11640,2015,13991,0,37373,30.0,64.2,2.0
11641,2016,17750,0,15082,200.0,41.5,2.0
11642,2018,21490,1,18385,145.0,48.7,2.0
11643,2013,7998,0,64698,160.0,51.4,2.0
11644,2016,17998,0,14300,125.0,58.9,2.0
11645,2015,13198,0,62477,30.0,62.8,2.0
11646,2017,16498,1,24354,145.0,64.2,2.0
11647,2017,30998,1,21756,145.0,47.1,3.0
11648,2019,24998,1,8555,145.0,46.3,2.0
11649,2017,13998,0,37323,150.0,67.3,2.0
11650,2013,8490,0,68578,30.0,61.4,2.0
11651,2018,21500,1,768,145.0,65.7,2.0
11652,2015,15500,1,25180,20.0,68.9,2.0
11653,2017,22000,1,30109,150.0,65.7,2.0
11654,2017,18998,1,30355,145.0,64.2,2.0
11655,2017,13995,1,18124,145.0,70.6,2.0
11656,2014,14495,1,44000,165.0,50.4,2.0
11657,2013,7495,0,83000,30.0,62.8,2.0
11658,2017,20495,1,33275,150.0,54.3,2.0
11659,2019,29998,1,4918,150.0,52.3,2.0
11660,2017,16498,1,27811,145.0,64.2,2.0
11661,2017,17498,1,19307,145.0,64.2,2.0
11662,2017,17498,1,21809,145.0,64.2,2.0
11663,2017,16798,1,25884,145.0,64.2,2.0
11664,2016,20998,1,25574,145.0,54.3,2.0
11665,2018,19998,1,4807,145.0,64.2,2.0
11666,2016,16998,1,63589,145.0,54.3,2.0
11667,2016,14298,0,22265,20.0,70.6,1.5
11668,2016,12998,1,31879,0.0,78.5,1.5
11669,2017,16998,1,64473,125.0,58.9,2.0
11670,2016,11698,0,36250,30.0,65.7,2.0
11671,2015,14498,1,19236,145.0,47.9,2.0
11672,2017,18698,1,41384,145.0,55.4,2.0
11673,2015,23421,1,31526,200.0,47.9,3.0
11674,2017,21998,1,30963,145.0,53.3,3.0
11675,2018,22498,1,31660,145.0,62.8,2.0
11676,2017,17298,1,23752,145.0,64.2,2.0
11677,2015,11995,0,38000,125.0,52.3,1.5
11678,2016,16498,1,32298,30.0,62.8,2.0
11679,2015,16990,1,35046,235.0,37.7,3.0
11680,2017,19547,1,29184,145.0,51.4,3.0
11681,2016,15230,1,46871,145.0,56.5,3.0
11682,2016,17600,1,31179,235.0,37.7,3.0
11683,2016,16597,1,47277,145.0,55.4,2.0
11684,2017,20197,1,33443,145.0,53.3,3.0
11685,2016,16380,1,39563,30.0,65.7,2.0
11686,2016,14991,1,20923,20.0,70.6,2.0
11687,2018,19995,1,12272,145.0,47.9,2.0
11688,2013,9990,0,29000,145.0,48.7,2.0
11689,2017,19995,1,34634,150.0,53.3,3.0
11690,2017,19798,1,21700,145.0,55.4,2.0
11691,2019,33998,1,14404,150.0,42.8,2.0
11692,2019,24898,1,11249,150.0,52.3,2.0
11693,2016,16500,1,27444,125.0,60.1,2.0
11694,2016,16750,1,39750,165.0,51.4,3.0
11695,2016,16250,1,43000,30.0,62.8,2.0
11696,2013,11950,1,88000,125.0,57.6,3.0
11697,2017,20498,1,23651,125.0,57.6,2.0
11698,2014,13998,0,22086,125.0,58.9,2.0
11699,2019,19998,1,10027,145.0,47.9,2.0
11700,2018,22998,1,27542,145.0,39.8,3.0
11701,2016,20000,1,34334,150.0,54.3,2.0
11702,2018,23295,1,11570,150.0,44.8,2.0
11703,2019,25990,1,2980,150.0,57.7,2.0
11704,2015,19995,1,23338,205.0,41.5,3.0
11705,2019,37900,1,7776,150.0,48.7,3.0
11706,2013,10750,1,60611,125.0,60.1,2.0
11707,2013,9995,1,66000,145.0,53.3,2.0
11708,2017,30990,1,31536,200.0,47.1,3.0
11709,2016,26990,1,32711,200.0,47.1,3.0
11710,2016,12998,0,20565,0.0,74.3,1.5
11711,2015,18498,1,27855,160.0,51.4,3.0
11712,2016,17498,0,15413,125.0,58.9,2.0
11713,2017,16498,0,29117,145.0,62.8,2.0
11714,2018,23998,1,8524,150.0,52.3,3.0
11715,2013,10298,1,51645,30.0,62.8,2.0
11716,2016,16698,0,14518,125.0,58.9,2.0
11717,2016,16807,1,39218,30.0,65.7,2.0
11718,2017,17985,1,29337,125.0,60.1,2.0
11719,2016,22495,1,13295,260.0,37.2,3.0
11720,2019,26885,1,11751,145.0,42.2,2.0
11721,2015,11495,0,41388,20.0,74.3,1.5
11722,2016,17785,1,37032,125.0,58.9,2.0
11723,2015,17495,1,34802,235.0,39.2,3.0
11724,2017,18950,1,23295,200.0,39.8,3.0
11725,2018,33450,1,35706,145.0,47.1,3.0
11726,2016,10450,1,52562,0.0,78.5,1.5
11727,2014,14450,0,27405,165.0,44.8,2.0
11728,2018,16750,0,13052,145.0,64.2,2.0
11729,2017,20990,1,19842,160.0,51.4,3.0
11730,2014,10990,0,65077,30.0,61.4,2.0
11731,2013,5299,1,26000,165.0,50.4,2.0
11732,2017,18985,1,28173,0.0,134.5,2.0
11733,2018,22995,1,12848,145.0,44.8,2.0
11734,2018,19995,1,11805,135.0,135.5,1.5
11735,2017,22995,1,17117,145.0,65.7,2.0
11736,2015,11750,1,60210,125.0,58.9,2.0
11737,2018,21990,1,24118,150.0,65.7,2.0
11738,2014,14750,1,60212,125.0,58.9,2.0
11739,2013,13990,1,38748,235.0,37.7,3.0
11740,2018,22990,1,23891,145.0,68.9,2.0
11741,2018,22750,1,30500,145.0,68.9,2.0
11742,2014,10450,0,51030,30.0,62.8,2.0
11743,2013,12990,1,54073,125.0,57.6,3.0
11744,2017,34950,1,20750,300.0,34.0,3.0
11745,2015,9990,0,43877,165.0,51.4,2.0
11746,2014,14990,1,43000,150.0,56.5,2.0
11747,2015,13350,1,54695,125.0,58.9,2.0
11748,2017,13995,0,25345,150.0,48.7,2.0
11749,2014,13995,1,80500,125.0,57.6,2.0
11750,2017,23750,1,25338,200.0,49.6,3.0
11751,2015,11490,1,57855,200.0,43.5,2.0
11752,2014,17450,1,67975,200.0,47.9,3.0
11753,2018,36498,1,4015,145.0,47.1,3.0
11754,2018,21498,1,20369,145.0,60.1,2.0
11755,2013,10995,0,27000,30.0,61.4,2.0
11756,2017,32498,1,22306,145.0,47.1,3.0
11757,2015,19898,1,21803,165.0,49.6,3.0
11758,2017,26998,1,34017,125.0,57.6,3.0
11759,2016,11995,0,69850,30.0,65.7,2.0
11760,2013,8295,0,71797,30.0,65.7,2.0
11761,2018,18995,1,21010,150.0,62.8,2.0
11762,2016,22495,1,30252,200.0,49.6,3.0
11763,2017,18495,1,29999,145.0,64.2,2.0
11764,2017,18495,1,33683,30.0,65.7,2.0
11765,2013,21990,1,64979,200.0,45.6,3.0
11766,2017,17990,1,36687,125.0,57.6,2.0
11767,2015,13490,0,73581,30.0,62.8,2.0
11768,2015,13990,1,37087,125.0,61.4,2.0
11769,2014,20490,1,38000,200.0,45.6,3.0
11770,2016,16460,1,32998,125.0,60.1,2.0
11771,2015,17190,1,34089,160.0,51.4,3.0
11772,2014,12795,1,63592,125.0,60.1,2.0
11773,2019,26998,1,14572,145.0,48.7,2.0
11774,2019,52500,1,9000,145.0,42.2,2.0
11775,2017,16995,1,22000,145.0,65.7,2.0
11776,2017,14995,0,33600,150.0,68.9,2.0
11777,2016,17495,0,25000,125.0,58.9,2.0
11778,2014,14995,1,42313,145.0,55.4,3.0
11779,2018,33998,1,14777,145.0,42.8,2.0
11780,2018,26998,1,1426,145.0,41.5,3.0
11781,2016,35898,1,26642,555.0,28.5,4.4
11782,2016,18998,1,26098,125.0,57.6,2.0
11783,2014,14498,1,41419,200.0,42.2,2.0
11784,2017,18898,1,27720,125.0,57.6,2.0
11785,2015,20898,1,34104,145.0,54.3,2.0
11786,2019,21898,1,14720,145.0,67.3,2.0
11787,2017,22898,1,11303,145.0,65.7,2.0
11788,2016,10990,0,85635,30.0,65.7,2.0
11789,2016,15790,1,73921,160.0,51.4,3.0
11790,2015,15990,1,67958,160.0,51.4,3.0
11791,2016,13695,1,61989,20.0,68.9,2.0
11792,2016,14495,0,43052,30.0,62.8,2.0
11793,2015,12950,1,31384,30.0,65.7,2.0
11794,2015,14490,1,55024,30.0,62.8,2.0
11795,2015,10570,0,59020,125.0,57.6,2.0
11796,2015,24020,1,69358,200.0,47.1,3.0
11797,2014,13995,1,33655,165.0,50.4,2.0
11798,2015,10000,0,85515,20.0,68.9,2.0
11799,2018,19491,1,7460,145.0,47.1,2.0
11800,2014,15590,1,51362,145.0,54.3,2.0
11801,2016,17190,0,22197,125.0,58.9,2.0
11802,2017,20998,1,19479,200.0,39.8,3.0
11803,2017,20998,1,24999,200.0,39.8,3.0
11804,2015,12198,0,22812,20.0,74.3,1.5
11805,2016,19500,1,24790,265.0,37.2,3.0
11806,2017,25998,1,18895,145.0,51.4,3.0
11807,2019,29898,1,2145,145.0,58.9,2.0
11808,2015,14498,0,25640,30.0,62.8,2.0
11809,2019,17898,1,11804,145.0,70.6,2.0
11810,2019,22898,1,12226,145.0,62.8,2.0
11811,2019,22198,1,13004,145.0,67.3,2.0
11812,2016,15998,1,21914,30.0,65.7,2.0
11813,2019,20898,1,8177,135.0,148.7,1.5
11814,2015,11990,1,47742,30.0,67.3,2.0
11815,2018,19940,1,20610,145.0,48.7,2.0
11816,2019,29998,1,3941,145.0,41.5,2.0
11817,2017,21998,1,12453,145.0,39.8,3.0
11818,2017,16098,0,26575,30.0,64.2,2.0
11819,2017,15298,1,42114,125.0,51.4,1.5
11820,2016,12995,0,18824,20.0,70.6,2.0
11821,2018,23750,1,17280,145.0,68.9,2.0
11822,2017,19999,1,17347,140.0,134.5,2.0
11823,2015,12299,1,46242,30.0,62.8,2.0
11824,2018,16998,0,14164,145.0,46.3,2.0
11825,2016,15998,1,11239,20.0,68.9,1.5
11826,2019,19498,1,5045,145.0,51.4,2.0
11827,2018,18998,1,7762,150.0,50.4,1.5
11828,2015,13795,1,92308,150.0,54.3,3.0
11829,2015,12495,1,57209,125.0,61.4,2.0
11830,2016,17750,1,47027,145.0,55.4,2.0
11831,2017,14600,0,10511,150.0,68.9,2.0
11832,2017,17901,1,16965,145.0,46.3,2.0
11833,2015,29197,0,37538,325.0,32.1,3.0
11834,2019,25690,1,21544,145.0,42.2,2.0
11835,2017,14179,0,32015,145.0,68.9,2.0
11836,2016,18656,1,41200,150.0,53.3,3.0
11837,2019,24690,1,3479,135.0,113.0,1.5
11838,2018,21690,1,12008,145.0,48.7,2.0
11839,2017,15995,1,23715,150.0,65.7,2.0
11840,2017,20995,1,31544,145.0,39.8,3.0
11841,2017,20995,1,31544,145.0,39.8,3.0
11842,2014,11495,0,65000,125.0,57.6,2.0
11843,2017,17795,0,24485,125.0,58.9,2.0
11844,2013,10495,1,83000,125.0,57.6,2.0
11845,2017,22995,1,35000,150.0,54.3,2.0
11846,2018,16195,0,37025,150.0,67.3,2.0
11847,2015,15695,1,59204,200.0,49.6,3.0
11848,2017,24000,1,20398,145.0,50.4,3.0
11849,2017,20387,1,19151,145.0,65.7,2.0
11850,2016,19737,1,29958,30.0,65.7,2.0
11851,2017,20910,1,16448,145.0,65.7,2.0
11852,2017,21170,1,8161,145.0,65.7,2.0
11853,2016,14015,0,34281,20.0,70.6,1.5
11854,2016,19881,1,21972,30.0,65.7,2.0
11855,2019,25990,1,5714,145.0,52.3,2.0
11856,2016,16995,0,29564,30.0,62.8,2.0
11857,2016,32995,1,36804,235.0,42.8,3.0
11858,2017,16485,1,58081,145.0,64.2,2.0
11859,2016,10985,0,37500,20.0,72.4,1.5
11860,2017,23498,1,17231,145.0,53.3,3.0
11861,2015,11995,1,52385,165.0,47.1,2.0
11862,2016,13995,1,42565,30.0,62.8,2.0
11863,2016,36995,1,19000,555.0,27.4,4.4
11864,2017,24995,1,13543,160.0,50.4,3.0
11865,2015,25995,1,43344,200.0,47.1,3.0
11866,2015,13495,0,42348,200.0,40.4,2.0
11867,2015,22995,1,41622,200.0,47.9,3.0
11868,2018,17630,1,11056,145.0,64.2,2.0
11869,2017,33650,1,17834,145.0,34.0,3.0
11870,2017,21901,1,4775,200.0,39.8,3.0
11871,2019,33250,1,3673,145.0,34.0,2.0
11872,2019,66540,1,3218,145.0,33.6,3.0
11873,2019,24920,1,3689,145.0,65.7,2.0
11874,2015,17495,1,38249,160.0,51.4,3.0
11875,2016,14070,1,49922,160.0,44.1,2.0
11876,2016,17595,1,22868,160.0,45.6,2.0
11877,2019,32420,1,103,145.0,52.3,2.0
11878,2015,34147,1,34017,555.0,28.5,4.4
11879,2017,22561,1,17195,145.0,60.1,2.0
11880,2017,17484,1,34247,30.0,65.7,2.0
11881,2019,26300,0,5446,145.0,53.3,2.0
11882,2019,26980,0,103,145.0,55.4,2.0
11883,2019,32570,1,103,145.0,34.0,2.0
11884,2016,16780,0,32383,20.0,68.9,2.0
11885,2019,26600,1,5085,145.0,60.1,2.0
11886,2019,26000,1,4826,145.0,60.1,2.0
11887,2019,45400,1,2212,145.0,42.2,3.0
11888,2016,19790,1,15921,235.0,37.7,3.0
11889,2017,27197,1,6245,145.0,51.4,3.0
11890,2016,21480,1,44588,200.0,47.9,3.0
11891,2017,23890,1,19266,145.0,49.6,3.0
11892,2018,57870,1,11278,135.0,134.5,1.5
11893,2017,22150,1,16798,200.0,39.8,3.0
11894,2017,21307,1,12969,145.0,39.8,3.0
11895,2019,30783,1,6499,145.0,34.5,2.0
11896,2019,25323,0,7830,145.0,41.5,1.5
11897,2019,24790,1,2567,145.0,48.7,2.0
11898,2019,29700,1,3901,145.0,46.3,2.0
11899,2019,27197,1,3469,145.0,58.9,2.0
11900,2019,44800,1,7030,145.0,37.7,3.0
11901,2019,32250,1,11432,145.0,51.4,3.0
11902,2015,17998,1,22358,145.0,56.5,3.0
11903,2017,15998,0,26055,20.0,68.9,2.0
11904,2017,15698,0,10966,150.0,65.7,2.0
11905,2020,52910,1,101,135.0,5.5,2.0
11906,2015,16698,1,38399,145.0,56.5,3.0
11907,2016,17698,1,27840,0.0,134.5,2.0
11908,2016,20998,1,20756,145.0,56.5,3.0
11909,2016,16798,1,46344,145.0,55.4,2.0
11910,2014,17080,1,40267,200.0,48.7,3.0
11911,2016,18810,1,35404,160.0,51.4,2.0
11912,2020,47550,1,101,145.0,60.1,2.0
11913,2020,31150,0,101,145.0,40.4,1.5
11914,2020,53630,1,117,145.0,40.9,3.0
11915,2020,56270,1,117,145.0,36.7,3.0
11916,2020,40150,1,319,145.0,42.2,2.0
11917,2020,53260,1,347,145.0,33.6,3.0
11918,2016,16670,0,34393,125.0,58.9,2.0
11919,2014,13840,1,59640,160.0,50.4,3.0
11920,2017,17880,1,22170,145.0,60.1,2.0
11921,2017,13480,0,16627,145.0,53.3,1.5
11922,2017,20998,1,19822,145.0,53.3,3.0
11923,2016,16998,0,24311,300.0,35.3,3.0
11924,2015,16698,1,28321,145.0,53.3,3.0
11925,2017,22998,1,14295,145.0,55.4,2.0
11926,2016,33698,1,20708,235.0,42.8,3.0
11927,2013,21212,1,51500,200.0,45.6,3.0
11928,2019,22052,1,10178,145.0,55.4,2.0
11929,2019,22382,1,10142,145.0,55.4,2.0
11930,2019,28226,1,123,145.0,47.9,2.0
11931,2019,28608,1,123,145.0,50.4,2.0
11932,2019,22312,1,7944,145.0,55.4,2.0
11933,2017,16741,1,30500,150.0,67.3,2.0
11934,2019,25936,1,5948,145.0,42.2,2.0
11935,2019,25936,1,4472,145.0,50.4,2.0
11936,2019,29356,1,3412,145.0,52.3,2.0
11937,2017,14502,1,33242,20.0,70.6,2.0
11938,2018,31322,1,39196,145.0,54.3,3.0
11939,2019,30804,1,6903,145.0,49.6,3.0
11940,2016,21991,1,30057,145.0,54.3,2.0
11941,2019,29975,1,123,145.0,48.7,2.0
11942,2019,29770,1,123,145.0,48.7,2.0
11943,2019,29770,1,123,145.0,48.7,2.0
11944,2019,29770,1,123,145.0,48.7,2.0
11945,2019,29770,1,123,145.0,48.7,2.0
11946,2019,29626,1,1938,145.0,41.5,3.0
11947,2018,17992,1,8846,145.0,37.2,1.5
11948,2018,17912,1,9673,145.0,37.2,1.5
11949,2019,24480,0,2425,145.0,51.4,1.5
11950,2020,29991,1,2000,145.0,47.9,2.0
11951,2020,29991,1,1500,145.0,47.9,2.0
11952,2016,14490,0,34944,30.0,62.8,2.0
11953,2017,17572,0,11237,145.0,44.1,2.0
11954,2015,13242,0,71179,30.0,62.8,2.0
11955,2014,17292,1,35481,235.0,37.7,3.0
11956,2019,20276,1,4013,145.0,53.3,1.5
11957,2017,19792,1,15867,145.0,61.4,2.0
11958,2018,17882,1,9993,145.0,37.2,1.5
11959,2018,24472,1,11253,145.0,60.1,2.0
11960,2017,19991,1,19396,160.0,44.8,2.0
11961,2019,42763,1,3844,145.0,36.7,3.0
11962,2019,27720,0,123,145.0,53.3,2.0
11963,2019,32060,1,123,145.0,48.7,2.0
11964,2019,28608,1,123,145.0,50.4,2.0
11965,2019,21796,1,11189,145.0,67.3,2.0
11966,2019,34526,1,5744,145.0,42.8,2.0
11967,2019,33840,1,123,145.0,42.2,2.0
11968,2019,38020,1,123,145.0,54.3,2.0
11969,2019,37830,1,123,145.0,54.3,2.0
11970,2019,28000,1,123,145.0,51.4,2.0
11971,2019,34370,1,123,145.0,50.4,2.0
11972,2019,26780,0,123,145.0,53.3,2.0
11973,2019,29806,1,1649,145.0,41.5,3.0
11974,2019,40016,1,6648,145.0,26.9,3.0
11975,2017,21972,1,25000,145.0,39.8,3.0
11976,2019,31466,1,6070,145.0,54.3,2.0
11977,2019,22516,1,5215,145.0,47.9,2.0
11978,2017,14951,0,22887,145.0,55.4,1.5
11979,2016,17991,1,30089,125.0,60.1,2.0
11980,2017,18612,1,25000,30.0,64.2,2.0
11981,2019,30266,1,123,145.0,58.9,2.0
11982,2019,26930,1,4030,145.0,40.4,2.0
11983,2019,19420,0,4601,145.0,44.1,1.5
11984,2019,21920,1,7060,145.0,49.6,2.0
11985,2019,24440,1,5639,145.0,49.6,2.0
11986,2019,25020,1,5197,145.0,38.2,2.0
11987,2018,39589,1,12648,145.0,40.9,3.0
11988,2019,34280,1,123,145.0,50.4,2.0
11989,2019,27730,0,123,145.0,53.3,2.0
11990,2019,33910,1,123,145.0,50.4,2.0
11991,2019,24626,1,123,145.0,49.6,2.0
11992,2019,26310,0,123,145.0,53.3,2.0
11993,2019,49990,1,123,145.0,44.8,3.0
11994,2019,30990,1,2389,145.0,38.7,2.0
11995,2019,30200,1,19915,145.0,30.4,2.0
11996,2018,21800,1,37052,145.0,51.4,3.0
11997,2018,24991,1,5243,145.0,56.5,3.0
11998,2016,15840,0,33700,125.0,60.1,2.0
11999,2018,18502,0,12800,145.0,68.9,2.0
12000,2019,27003,0,123,145.0,62.8,2.0
12001,2019,35810,1,123,145.0,48.7,2.0
12002,2019,53910,1,123,145.0,37.7,3.0
12003,2019,38900,1,123,145.0,54.3,2.0
12004,2017,31900,1,21379,200.0,47.1,3.0
12005,2019,36990,1,3501,145.0,47.9,3.0
12006,2016,17490,1,21804,125.0,60.1,2.0
12007,2017,35990,1,3550,150.0,44.8,3.0
12008,2018,22960,1,6350,150.0,50.4,2.0
12009,2018,20870,1,8090,150.0,47.9,2.0
12010,2017,27100,1,34335,145.0,54.3,3.0
12011,2019,27450,1,123,145.0,46.3,1.5
12012,2019,28410,1,123,145.0,60.1,2.0
12013,2019,31276,1,7345,145.0,30.4,2.0
12014,2019,44036,1,11436,145.0,37.7,3.0
12015,2020,26991,1,2000,145.0,57.7,1.5
12016,2020,29991,1,2000,145.0,40.9,2.0
12017,2019,31030,1,123,145.0,49.6,2.0
12018,2019,64772,1,4193,150.0,26.4,3.0
12019,2019,22726,1,9987,145.0,65.7,2.0
12020,2019,23976,1,999,145.0,38.7,2.0
12021,2014,12832,1,33100,160.0,52.3,2.0
12022,2019,68930,1,123,145.0,26.9,4.4
12023,2019,24180,1,4001,145.0,47.1,2.0
12024,2019,22050,1,4488,145.0,39.8,1.5
12025,2019,28861,1,123,145.0,39.8,3.0
12026,2019,34790,1,123,145.0,50.4,2.0
12027,2019,63320,1,123,145.0,33.6,3.0
12028,2019,30766,1,123,145.0,60.1,2.0
12029,2019,26972,1,123,145.0,38.7,2.0
12030,2019,26972,1,123,145.0,38.7,2.0
12031,2019,26972,1,123,145.0,38.7,2.0
12032,2016,11976,0,26089,30.0,55.4,1.5
12033,2020,24852,0,1510,150.0,41.5,1.5
12034,2017,17832,1,29943,30.0,64.2,2.0
12035,2015,18722,1,30000,165.0,51.4,3.0
12036,2017,20251,1,14598,145.0,60.1,2.0
12037,2019,48440,1,8000,145.0,37.7,3.0
12038,2019,27440,0,123,145.0,39.8,1.5
12039,2019,26972,1,123,145.0,38.7,2.0
12040,2019,26972,1,123,145.0,38.7,2.0
12041,2019,26972,1,123,145.0,38.7,2.0
12042,2019,26972,1,123,145.0,38.7,2.0
12043,2019,26972,1,123,145.0,38.7,2.0
12044,2019,26972,1,123,145.0,38.7,2.0
12045,2019,26972,1,123,145.0,38.7,2.0
12046,2019,26972,1,123,145.0,38.7,2.0
12047,2017,15998,1,32317,30.0,65.7,2.0
12048,2015,15698,1,47167,125.0,57.6,3.0
12049,2016,15621,0,32927,125.0,60.1,2.0
12050,2019,22646,0,123,145.0,52.3,1.5
12051,2019,22646,0,123,145.0,52.3,1.5
12052,2019,26972,1,123,145.0,38.7,2.0
12053,2019,26972,1,123,145.0,38.7,2.0
12054,2019,26972,1,123,145.0,38.7,2.0
12055,2019,26972,1,123,145.0,38.7,2.0
