,year,price,transmission,mileage,tax,mpg,engineSize
127,2016,13100,0,63097,125.0,49.6,2.0
128,2016,14700,0,72967,30.0,61.4,2.0
129,2017,21100,1,32771,145.0,70.6,2.0
130,2018,24400,1,13303,145.0,40.4,2.0
131,2019,18750,0,2752,145.0,44.8,1.5
132,2016,16500,0,23307,160.0,49.6,2.0
133,2017,11000,0,34551,150.0,67.3,1.0
134,2017,13400,0,25457,150.0,68.9,1.6
135,2018,20000,0,12167,150.0,50.4,1.4
136,2015,15400,1,23237,20.0,67.3,2.0
137,2016,15500,1,11863,160.0,50.4,2.0
138,2017,14800,0,21225,145.0,72.4,2.0
139,2015,17100,1,32083,30.0,61.4,2.0
140,2017,25750,1,17039,145.0,55.4,2.0
141,2016,11750,0,72026,0.0,74.3,2.0
142,2017,11200,0,34824,0.0,67.3,1.0
143,2017,12800,0,20351,30.0,55.4,1.4
144,2017,16000,1,58028,145.0,52.3,2.0
145,2017,20000,1,44783,145.0,62.8,2.0
146,2014,11950,0,60604,20.0,67.3,2.0
147,2013,9400,0,39998,30.0,65.7,2.0
148,2017,20000,1,20852,30.0,65.7,2.0
149,2016,13300,0,79728,30.0,64.2,2.0
150,2017,18500,1,29095,20.0,64.2,2.0
151,2013,8300,0,98940,0.0,74.3,1.6
152,2016,13500,0,22780,30.0,58.9,1.4
153,2018,19800,0,20832,150.0,47.1,2.0
154,2016,15400,1,29196,145.0,55.4,2.0
155,2017,13900,0,14392,145.0,53.3,1.4
156,2018,15600,0,20070,145.0,52.3,1.4
157,2016,16200,1,89334,30.0,62.8,3.0
158,2016,10600,0,21428,0.0,67.3,1.0
159,2016,14300,0,45485,20.0,70.6,2.0
160,2016,14700,0,32704,30.0,60.1,2.0
161,2018,19100,1,42209,145.0,42.2,2.0
162,2017,18100,0,17278,145.0,48.7,1.4
163,2017,11400,0,29515,0.0,67.3,1.0
164,2014,11600,0,43662,20.0,67.3,2.0
165,2017,17300,1,45225,145.0,62.8,2.0
166,2017,16400,0,45491,30.0,61.4,2.0
167,2014,17100,0,52267,235.0,37.7,2.0
168,2014,11498,1,40807,125.0,50.4,1.8
169,2014,11698,0,65959,160.0,49.6,2.0
170,2014,18998,1,47648,260.0,35.8,2.0
171,2017,25498,1,27948,145.0,40.9,2.0
172,2013,10498,0,31169,145.0,49.6,1.8
173,2013,9498,1,42011,145.0,47.1,2.0
174,2015,19998,1,56115,160.0,50.4,3.0
175,2015,16798,1,65835,125.0,61.4,2.0
176,2017,23998,1,63383,145.0,45.6,3.0
177,2017,36998,1,34011,145.0,34.0,3.0
178,2014,13998,1,52132,160.0,49.6,3.0
179,2015,15995,0,38787,145.0,55.4,2.0
180,2017,13495,0,34554,150.0,55.4,1.4
181,2017,30985,1,17502,145.0,40.4,2.0
182,2019,29485,1,3000,145.0,40.9,2.0
183,2015,16985,0,34646,30.0,61.4,2.0
184,2017,26485,1,18000,150.0,56.5,2.0
185,2018,23985,1,17085,150.0,47.9,1.4
186,2017,12485,0,48166,20.0,72.4,1.6
187,2015,22485,1,38421,205.0,47.1,2.0
188,2015,16498,0,46637,30.0,61.4,2.0
189,2016,11998,0,24468,0.0,74.3,1.6
190,2017,24985,1,29343,200.0,47.1,2.0
